EmployeeID,Age,Department,JobRole,MonthlyIncome,MaritalStatus,Education,Gender,YearsAtCompany,Attrition
1,29,IT,Executive,6118,Single,High School,Male,22,No
2,23,IT,Manager,5777,Divorced,PhD,Female,3,No
3,39,Sales,Manager,3976,Married,High School,Male,21,Yes
4,37,IT,Executive,13817,Single,Masters,Male,17,Yes
5,36,HR,Specialist,5155,Single,High School,Female,7,No
6,30,Sales,Associate,7169,Single,PhD,Female,23,No
7,28,IT,Manager,3958,Married,Masters,Male,27,Yes
8,56,HR,Specialist,14171,Single,Masters,Female,25,Yes
9,27,IT,Specialist,10779,Divorced,PhD,Female,28,No
10,59,Research,Associate,14487,Single,Masters,Female,24,Yes
11,49,IT,Executive,13307,Married,High School,Male,21,Yes
12,24,Research,Specialist,5033,Divorced,Bachelors,Female,11,No
13,23,IT,Specialist,5138,Married,PhD,Male,31,No
14,27,Finance,Specialist,5545,Divorced,High School,Male,31,No
15,35,IT,Executive,14101,Divorced,Masters,Male,23,No
16,36,Sales,Executive,9933,Married,Bachelors,Male,33,Yes
17,54,Sales,Manager,6530,Married,High School,Female,17,Yes
18,60,Research,Manager,13871,Married,PhD,Female,5,No
19,23,Sales,Specialist,11659,Married,Masters,Male,27,Yes
20,57,HR,Executive,14455,Single,PhD,Male,5,No
21,34,Finance,Executive,10595,Married,High School,Male,27,No
22,56,Finance,Associate,11777,Divorced,Bachelors,Male,38,No
23,48,HR,Specialist,6636,Single,High School,Female,11,No
24,36,Research,Manager,3647,Married,High School,Male,34,Yes
25,50,HR,Associate,5180,Single,Masters,Male,18,No
26,59,HR,Executive,6853,Divorced,PhD,Male,20,Yes
27,39,Finance,Manager,5727,Divorced,High School,Male,6,Yes
28,22,IT,Specialist,7912,Divorced,High School,Male,5,No
29,32,Finance,Executive,4939,Single,Bachelors,Female,20,No
30,49,Finance,Specialist,6952,Single,Bachelors,Female,18,Yes
31,43,Sales,Associate,2231,Married,PhD,Female,19,No
32,39,HR,Associate,13600,Married,PhD,Female,28,No
33,31,Finance,Associate,10751,Married,Masters,Female,38,No
34,35,HR,Analyst,4073,Divorced,PhD,Male,27,Yes
35,43,Sales,Specialist,6494,Married,Bachelors,Female,10,Yes
36,28,HR,Associate,2745,Single,PhD,Male,28,Yes
37,27,Finance,Associate,2893,Married,High School,Female,22,No
38,46,HR,Specialist,11066,Divorced,PhD,Female,28,No
39,28,Sales,Associate,6786,Married,PhD,Female,2,No
40,44,IT,Specialist,13426,Divorced,Masters,Female,22,No
41,44,HR,Executive,4068,Divorced,High School,Male,39,Yes
42,60,Finance,Specialist,12450,Divorced,Masters,Female,27,Yes
43,38,Sales,Specialist,14333,Married,Bachelors,Male,17,No
44,24,Finance,Analyst,10042,Single,PhD,Female,40,Yes
45,51,Finance,Executive,3680,Married,PhD,Female,3,Yes
